414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
5932,158.4 DWI s,Text,,20 Februari 2013,,,100-199,,Available,,,,,IDR,,,,Siap Jadi Pemimpin? 
6627,128 KMA t,Text,,13 Februari 2017,,,100-199,,Available,,,,,IDR,,,,Teknik Membaca Textbook Dan Penterjemah
6648,128 FIT s,Text,,7-Apr-17,,,100-199,,Available,,,,,IDR,,,,Super memory  Kini Anda Pun Bisa Memilikinya
6693,153.8 SAP i,Text,,23 Mei 20174,,,100-199,,Available,,,,,IDR,,,,Inspiring Stories : 150 Kisah Untuk Menguatkan Hidup Anda
5895,158.2 CUN p,Text,,17 Oktober 2012,,,100-199,,Available,,,,,IDR,,,,Pure Wisdom
6849,150,Text,,17 juli 2017,,,100-199,,Available,,,,,IDR,,,, Be Positive
6558,128 CAR s,Text,,19-Sep-16,,,100-199,,Available,,,,,IDR,,,,Sukses Berkomunikasi
3857,155.5 KNI j,Text,,31 Mei 2006,,,100-199,,Available,,,,,IDR,,,,Jadi Kamu Sudah Remaja ?
5342,158.4 BIR i,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Instan Leadership
5071,155.2 GRU p,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Panduan Bagi Remaja Gadis Yang Beranjak Dewasa
5072,155.2 GRU p,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Panduan Bagi Remaja Pria Yang Beranjak Dewasa
6023,158.2,Text,,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,Secret The Power
