title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
makin gaul Dengan Google+,Text,,,Elex Media Komputindo,2012,,,005 RUM m,Indonesia,Jakarta,5,,,,Jerry Rumkeny,
Kumpulan Soal Ujian Nasional Komputer Diklusemas Word Star,Text,,,Elex Media Komputindo,1992,,,006.639 TIM k,Indonesia,Jakarta,6.639,,,,Pudji Nugroho DKK,
Penulisan Buku Ajar Yang baik Dan Produktif ,Text,,,Andi,2021,,,070.5 Har p,Indonesia,yogyakarta,70.5,,,,"Jogiyanto Hartono, ",
Aplikasi Perkantoran Dengan Microsoft Word 2002 &  Microsoft Excel 2002,Text,,,Indah,2004,,,005 FIR a,Indonesia,Surabaya,5,,,,,
Kuark Kelas Olimpiade,Text,,,PT.Kuark Internasional Indonesia,-,,,070.1 TIM k,Indonesia,Jakarta,70.1,,,,TIM,
Membangun Generasi Aktif Literasi,Text,,,Gava Media,2023,,,028 MAL m,Indonesia,yogyakarta,28,,,,Malahayati,
Kuasa Doa majalah Rohani Bulanan,Serial,,,Komunitas Hidup baru,2011,,,-,Indonesia,Jakarta,-,,,,TIM,
Kuark Kelas Olimpiade,Text,,,PT.Kuark Internasional Indonesia,-,,,,Indonesia,Jakarta,,,,,TIM,
National Geographic  : Detak Bumi,Text,,,National Geographic,-,,,070.1 TIM d,Indonesia,Washinton DC,70.1,,,,TIM,
We Have Come To Worship Him,Text,,,Yay.Pustaka Nusatama,2006,,,070.4 TIM w,Indonesia,,70.4,,,,TIM,
